"id";"nome";"bairro";"rua";"numero";"linhas_onibus";"telefone";"latitude";"longitude"
"6105feb6-2f58-455a-be11-2ca747be085b";Posto de Saude Gov Virgilio Tavora;Cristo Redentor;Av Mons Helio Campos;"102";"110,120,130,140";(85) 3286-2219;-3.706098;-38.563940
d67cde4d-8ac1-46a6-9702-272ce622271e;Posto de Saude Graciliano Muniz;Conjunto Esperanca;Rua 106;"345";"379, 330, 131";(85) 3433-4913;-3.813919;-38.591085
"2f526be4-9392-45eb-b001-bcc3ad701c6e";Posto de Saude Gutemberg Braun;Vila Peri;Rua Monsenhor Agostinho;"505-443";"319";(85) 3452-5199;-3.787779;-38.582305
"12d4086f-7d65-47ab-ab32-642145d1b225";Posto de Saude Herminia Leitao;Quintino Cunha;Rua General Joao couto;"470";"58, 211";(85) 3433-9741;-3.731292;-38.588158
"76121ac1-1cd5-4a37-ab91-21dcb3cbb7e6";Posto de Saude Rigoberto Romero;Cidade 2000;Av das Graviolas;"195";"753, 831, 832, 833, 860";(85) 3433-2746;-3.751908;-38.473382
a7053e7b-1c15-4df7-a0ae-fb811ff7e3cf;Posto de Saude Ronaldo de Albuquerque Ribeiro;Conjunto Ceara Genibau;Av I;"423-463";"15, 385";(85) 3259-1741;-3.769532;-38.597342
"81775791-0811-4261-be95-ea080c0caf32";Posto de Saude Sandra Maria Faustino;Vicente Pinzon;Rua Josias Paulo de Sousa;"167";"804, 905";(85) 3452-5403;-3.727384;-38.469135
ea43b277-9edc-4a7e-acd5-2d9c9a4eab2a;Posto de Saude Santa Lidunia;Parque Araxa;Rua Prof Joao Bosco;"213";"75, 389, 703";(85) 3433-2569;-3.739671;-38.545445
"8ab77add-e12b-4df8-ac3f-d5ef82468609";Posto de Saude Senador Fernandes Tavora;Henrique Jorge;Rua Maceio;"1354";"351";(85) 3488-3254;-3.763661;-38.590763
"698a98f5-6be0-49af-bc05-ada08c9894a8";Posto de Saude Sitio Sao Joao;Jangurussu;Rua Verde Cinco;"71";"660, 712, 670";(85) 3105-1765;-3.847447;-38.516604
abe65b39-1e3b-43a6-a208-02e83700afc5;Posto de Saude Teresinha Parente;Lagoa Redonda;Rua Nelson Coelho;"209";"627, 697";(85) 3488-3288;-3.827182;-38.463941
"6f10b5d9-d6c2-4c4a-a6c7-ea87cee97481";Posto de Saude Turbay Barreira;Vila Uniao;Rua Goncalo Souto;"420";"502";(85) 3272-4055;-3.768571;-38.530865
"74734eff-5e04-4c7b-969a-305841ee6f6b";Posto de Saude Vicentina Campos;Parque Dois Irmaos;Rua B;"145";"405";(85) 3493-4732;-3.798433;-38.547536
"87890a58-2643-4a8d-9a93-c83d9f29342a";Posto de Saude Waldemar Alcantara;Joquei Clube;Rua Silveira Filho;"903";"323";(85) 3488-3253;-3.774055;-38.577805
ae7c0a3a-ff0b-4831-9650-395aaea4431e;Posto de Saude Waldo Pessoa de Almeida;Barroso;Rua Cap Hugo Bezerra;"75";"75, 82, 107, 274, 638, 650, 665, 1815";(85) 3472-4674;-3.821508;-38.503953
"6c17164c-69b3-402d-9ab5-0ad5e71ad2fb";Posto de Saude Zelia Correia;Planalto Ayrton Senna;Rua Antonio Pereira;"1495";"406, 456";(85) 3433-4900;-3.831073;-38.571118
